Company, Viken Detection
Model, Pb200i
Type, XRF Lead Paint Analyzer
Serial Num., 2753
App Version, Pb200i-5.2.0

Job Id,Reading #,Concentration,Units,3 SD,Result,Calibration Reading,Action Level,RTA Present,Read Through,NomSecs,Date,Time,User,Mode,Analytic Mode,Latitude,Longitude,Accuracy,Job,Location,Room,Side,Componet ,-->Member,Substrate,Condition,-->Cause,Color,
,1,1.0,mg/cm2,0.2,Positive,false,1.00,false,false,5.00,2022-02-26,12:05:48,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Calibration,,,,,,,,
,2,1.0,mg/cm2,0.2,Positive,false,1.00,false,false,5.00,2022-02-26,12:06:15,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Calibration,,,,,,,,
,3,1.0,mg/cm2,0.2,Positive,false,1.00,false,false,5.00,2022-02-26,12:06:44,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Calibration,,,,,,,,
,4,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:07:37,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Dining Room,A,Room,Wall,Wood,Intact,,White,
,5,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:08:02,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Dining Room,B,Room,Wall,Wood,Intact,,White,
,6,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:08:22,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Dining Room,C,Room,Wall,Wood,Intact,,White,
,7,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:08:43,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Dining Room,D,Room,Wall,Wood,Intact,,White,
,8,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:09:13,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Dining Room,D,Door,Casing,Wood,Intact,,Grey,
,9,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:10:13,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Dining Room,B,Room,Crown Molding,Wood,Intact,,Grey,
,10,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:10:36,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Dining Room,C,Room,Baseboard,Wood,Intact,,Grey,
,11,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:11:22,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Dining Room,,Room,Ceiling,Wood,Intact,,White,
,12,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:11:52,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Dining Room,,Room,Floor,Wood,Intact,,Brown,
,13,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:12:31,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Living Room/Kitchen,A,Room,Wall,Wood,Intact,,Brown,
,14,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:12:56,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Living Room/Kitchen,A,Door,---,Wood,Intact,,Brown,
,15,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:13:17,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Living Room/Kitchen,A,Door,Casing,Wood,Intact,,Brown,
,16,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:13:46,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Living Room/Kitchen,A,Room,Crown Molding,Wood,Intact,,Brown,
,17,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,3.00,2022-02-26,12:14:44,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Living Room/Kitchen,A,Window,Sill,Wood,Intact,,Brown,
,18,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:15:11,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Living Room/Kitchen,A,Window,Casing,Wood,Intact,,Brown,
,19,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:15:50,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Living Room/Kitchen,D,Room,Wall,Wood,Intact,,Brown,
,20,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:16:40,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Living Room/Kitchen,B,Room,Wall,Wood,Intact,,White,
,21,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:19:52,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Living Room/Kitchen,C,Room,Wall,Wood,Intact,,White,
,22,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:20:20,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Living Room/Kitchen,C,Window,Sill,Wood,Intact,,Brown,
,23,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:20:42,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Living Room/Kitchen,C,Window,Casing,Wood,Intact,,Brown,
,24,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:21:13,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Living Room/Kitchen,D,Cabinets,Door,Wood,Intact,,Brown,
,25,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:21:38,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Living Room/Kitchen,D,Cabinets,Frame,Wood,Intact,,Brown,
,26,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:22:30,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bedroom 2,A,Room,Wall,Wood,Intact,,Beige,
,27,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:22:50,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bedroom 2,B,Room,Wall,Wood,Intact,,Beige,
,28,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:23:12,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bedroom 2,C,Room,Wall,Wood,Intact,,Beige,
,29,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:23:33,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bedroom 2,D,Room,Wall,Wood,Intact,,Beige,
,30,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:25:25,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bedroom 2,C,Door,Casing,Wood,Intact,,Brown,
,31,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:25:59,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bedroom 2,C,Door,---,Wood,Intact,,Brown,
,32,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:32:13,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Exterior,House,A,Door,---,Metal,Intact,,Brown,
,33,0.3,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:32:51,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Exterior,House,A,Door,Casing,Metal,Intact,,Brown,
,34,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:33:27,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Exterior,House,A,Room,Wall,Brick,Intact,,Beige,
,35,0.5,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:34:30,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Exterior,House,A,Soffit,,Wood,Intact,,White,
,36,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:34:55,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Exterior,House,A,Fascia,,Wood,Intact,,Brown,
,37,0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:36:01,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Exterior,House,A,Window,Exterior Sill,Metal,Intact,,White,
,38,0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:36:23,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Exterior,House,A,Window,Exterior Casing,Metal,Intact,,White,
,39,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:36:49,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Exterior,House,A,Window,Shutter,Wood,Intact,,Brown,
,40,0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:37:19,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Exterior,House,B,Window,Exterior Sill,Metal,Intact,,White,
,41,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:37:41,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Exterior,House,B,Window,Exterior Casing,Metal,Intact,,White,
,42,0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:38:10,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Exterior,House,B,Room,Wall,Brick,Intact,,Beige,
,43,0.2,mg/cm2,0.4,Negative,false,1.00,false,false,2.00,2022-02-26,12:38:35,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Exterior,House,B,Room,Wall,Brick,Intact,,Red,
,44,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:39:04,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Exterior,House,B,Railing,,Metal,Intact,,Brown,
,45,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:39:41,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Exterior,House,B,Door,Casing,Wood,Intact,,Brown,
,46,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:40:04,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Exterior,House,B,Door,Step,Wood,Intact,,Brown,
,47,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:40:32,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Exterior,House,A,Door,---,Wood,Intact,,Brown,
,48,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:41:14,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Exterior,House,C,Room,Wall,Brick,Intact,,Beige,
,49,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:41:48,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Exterior,House,C,Door,Casing,Wood,Intact,,Brown,
,50,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:42:22,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Exterior,House,C,Window,Exterior Sill,Metal,Intact,,White,
,51,0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:42:45,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Exterior,House,C,Window,Exterior Casing,Metal,Intact,,White,
,52,0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:43:12,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Exterior,House,D,Window,Exterior Casing,Metal,Intact,,White,
,53,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:43:34,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Exterior,House,D,Window,Exterior Sill,Metal,Intact,,White,
,54,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:44:02,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Exterior,House,D,Room,Wall,Brick,Intact,,Beige,
,55,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:50:13,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bedroom 2,A,Window,Sill,Wood,Intact,,Brown,
,56,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:50:58,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bedroom 3,A,Room,Wall,Wood,Intact,,Beige,
,57,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:51:18,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bedroom 3,B,Room,Wall,Wood,Intact,,Beige,
,58,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:51:40,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bedroom 3,C,Room,Wall,Wood,Intact,,Beige,
,59,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:52:02,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bedroom 3,D,Room,Wall,Wood,Intact,,Beige,
,60,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:52:28,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bedroom 3,A,Door,---,Wood,Intact,,Brown,
,61,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:52:58,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bedroom 3,A,Door,Casing,Wood,Intact,,Brown,
,62,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:53:32,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bedroom 3,C,Window,Sill,Wood,Intact,,Brown,
,63,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:53:57,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bedroom 3,C,Window,Casing,Wood,Intact,,Brown,
,64,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:54:36,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bedroom 1,A,Room,Wall,Wood,Intact,,White,
,65,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:54:58,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bedroom 1,B,Room,Wall,Wood,Intact,,White,
,66,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:55:21,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bedroom 1,C,Room,Wall,Wood,Intact,,White,
,67,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:55:46,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bedroom 1,D,Room,Wall,Wood,Intact,,White,
,68,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:56:14,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bedroom 1,B,Door,---,Wood,Intact,,Brown,
,69,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:56:37,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bedroom 1,B,Door,Casing,Wood,Intact,,White,
,70,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:57:36,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bedroom 1,D,Window,Sill,Wood,Intact,,White,
,71,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:58:04,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bedroom 1,D,Window,Casing,Wood,Intact,,White,
,72,0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:58:45,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,1/2 Bathroom,A,Room,Wall,Wood,Intact,,White,
,73,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:59:08,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,1/2 Bathroom,B,Room,Wall,Wood,Intact,,White,
,74,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:59:28,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,1/2 Bathroom,C,Room,Wall,Wood,Intact,,White,
,75,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:59:49,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,1/2 Bathroom,D,Room,Wall,Wood,Intact,,White,
,76,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,13:00:18,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,1/2 Bathroom,A,Door,---,Wood,Intact,,White,
,77,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,13:00:38,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,1/2 Bathroom,A,Door,Casing,Wood,Intact,,White,
,78,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,13:01:06,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,1/2 Bathroom,D,Room,Crown Molding,Wood,Intact,,White,
,79,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,13:01:32,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,1/2 Bathroom,C,Window,Sill,Wood,Intact,,White,
,80,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,13:02:08,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,1/2 Bathroom,C,Room,Baseboard,Wood,Intact,,White,
,81,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,13:02:51,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bathroom 2,A,Room,Wall,Wood,Intact,,White,
,82,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,13:03:14,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bathroom 2,B,Room,Wall,Wood,Intact,,White,
,83,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,13:03:36,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bathroom 2,C,Room,Wall,Wood,Intact,,White,
,84,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,13:03:56,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bathroom 2,D,Room,Wall,Wood,Intact,,White,
,85,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,13:04:22,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bathroom 2,D,Room,Wall,Ceramic,Intact,,Blue,
,86,0.1,mg/cm2,0.4,Negative,false,1.00,false,false,2.00,2022-02-26,13:05:06,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bathroom 2,C,Room,Wall,Ceramic,Intact,,Blue,
,87,0.0,mg/cm2,0.4,Negative,false,1.00,false,false,2.00,2022-02-26,13:05:26,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bathroom 2,D,Room,Wall,Ceramic,Intact,,Blue,
,88,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,13:05:49,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bathroom 2,A,Room,Wall,Ceramic,Intact,,Blue,
,89,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,13:06:27,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bathroom 2,A,Door,---,Wood,Intact,,Brown,
,90,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,13:06:48,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bathroom 2,A,Door,Casing,Wood,Intact,,Brown,
,91,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,13:07:29,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bathroom 2,C,Window,Sill,Wood,Intact,,Brown,
,92,29.0,mg/cm2,0.4,Positive,false,1.00,false,false,2.00,2022-02-26,13:08:06,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bathroom 2,B,Tub ,,Ceramic,Intact,,White,
,93,1.2,mg/cm2,0.2,Positive,false,1.00,false,false,5.00,2022-02-26,13:09:13,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Calibration,,,,,,,,
,94,1.2,mg/cm2,0.2,Positive,false,1.00,false,false,5.00,2022-02-26,13:09:44,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Calibration,,,,,,,,
,95,1.2,mg/cm2,0.2,Positive,false,1.00,false,false,5.00,2022-02-26,13:10:13,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Calibration,,,,,,,,
